2,GAGNON CYNDELLE,Karate Quebec,CANADA
3,Brake Casey,Team British Columbia,CANADA
4,Nadeau Lillie,OKF Team Ontario,CANADA
Kumite Individual Female - U21 -50 kg,,,
Kumite Individual Female - U21 -50 kg,,,
1,Carrière Vicky,Karate Quebec,CANADA
2,Lam Natasha,Team British Columbia,CANADA
3,Chan Isabel,Team British Columbia,CANADA
4,Diaz Daniela,Team Alberta,CANADA
Kumite Individual Female - U21 -55 kg,,,
Kumite Individual Female - U21 -55 kg,,,
1,Deveau Trysten,Team Nova Scotia,CANADA
2,MORIN LAURENCE,Karate Quebec,CANADA
3,Carrière Véronique,Karate Quebec,CANADA
4,Heenan Darbyanh,Team British Columbia,CANADA
Kumite Individual Female - U21 -61 kg,,,
Kumite Individual Female - U21 -61 kg,,,
1,Lee Shalene,Team British Columbia,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,4 / 11
,,Canada National Championships 2018 (expire 2018-03-29),
,,Karate Canada National,
,,Championships 2018 - 2018-03-09,
,,Official Results,
2,Mayan Parvin,Team British Columbia,CANADA
3,Gomez-Lalonde Angelica,Team British Columbia,CANADA
4,POIRIER AUDREY,Karate Quebec,CANADA
Kumite Individual Female - U21 -68 kg,,,
Kumite Individual Female - U21 -68 kg,,,
1,Zaborniak Alexandra,Team British Columbia,CANADA
2,Gordon Lea,OKF Team Ontario,CANADA
3,HALIDI SOPHIAT-GRACIAS,Karate Quebec,CANADA
4,Fidyk Robin,Team Alberta,CANADA
Kumite Individual Female - Youth +45 kg,,,
Kumite Individual Female - Youth +45 kg,,,
1,Altinbaeva Alina,OKF Team Ontario,CANADA
2,Minhas Meera,Team British Columbia,CANADA
3,Mohmedi Sepideh,OKF Team Ontario,CANADA
4,Aulakh Ilisha,Team British Columbia,CANADA
Kumite Individual Female - Youth -35 kg,,,
Kumite Individual Female - Youth -35 kg,,,
1,Brodie Olivia,Team British Columbia,CANADA
2,Szeto Kiera,Team British Columbia,CANADA
3,Dufresne Eve,Karate Quebec,CANADA
