Year,Athlete,Result,Event,Category,Age Group,Classification,Team Result,,,,
2015,Derek Chan,3,kumite,18+ -60,Senior,Senior,,,,,
2015,Brendon Ly,1,kumite,U21 +84,U21,Junior,,,,,
2015,Derek Chan,1,kumite,U21 -60,U21,Junior,,,,,
2016,Stephanie Zaborniak,2,kumite,U16 -47,Cadet,Junior,,,,,
2016,Julia Maclean,1,kumite,U16 -54,Cadet,Junior,,,,,
2016,Pawan Sidhu,3,kumite,U18 +59,Junior,Junior,,,,,
2016,Melissa Chan,2,kumite,U18 -48,Junior,Junior,,,,,
2016,Zoe Fong,3,kumite,U18 -48,Junior,Junior,,,,,
2016,Alexandra Zaborniak,1,kumite,U18 -59,Junior,Junior,,,,,
2016,Angelica Gomez-Lalonde,3,kumite,U18 -59,Junior,Junior,,,,,
2016,Isabel Chan,1,kumite,18+ -50,Senior,Senior,,,,,
2016,Isabel Chan,1,kumite,U21 -50,U21,Junior,,,,,
2016,Caitlyn Santos,3,kumite,U14 -40,Youth,Junior,,,,,
2016,Michael Plunkett,2,kumite,U14 -52,Youth,Junior,,,,,
2016,Josh Dhillon,2,kumite,U18 -55,Junior,Junior,,,,,
2016,Masaki Soehardhi,3,kumite,U18 -55,Junior,Junior,,,,,
2016,Brendon Ly,3,kumite,18+ +84,Senior,Senior,,,,,
2016,Ginger Lin,4,kumite,U14 -45,Youth,Junior,,,,,
2016,Jai Sanghera,4,kumite,U18 -76,Junior,Junior,,,,,
2016,Derek Chan,2,kumite,18+ -60,Senior,Senior,,,,,
2016,Matthew Ly,3,kumite,18+ -67,Senior,Senior,3,,,,
2016,Brendon Ly,2,kumite,18+ +84,Senior,Senior,3,,,,
2016,Kole Macmillan,2,kumite,U14 -45,Youth,Junior,,,,,
2017,Caitlyn Lam,3,kumite,U16 -47,Cadet,Junior,,,,,
2017,Stephanie Zaborniak,4,kumite,U16 -47,Cadet,Junior,,,,,
2017,Julia Maclean,1,kumite,U16 -54,Cadet,Junior,,,,,
2017,Melissa Chan,1,kumite,U18 -48,Junior,Junior,,,,,
2017,Stephanie Zaborniak,2,kumite,U18 -48,Junior,Junior,,,,,
2017,Zoe Fong,3,kumite,U18 -53,Junior,Junior,,,,,
2017,Natasha Lam,4,kumite,U18 -53,Junior,Junior,,,,,
2017,Jusleen Virk,1,kumite,18+ -50,Senior,Senior,3,,,,
2017,Isabel Chan,3,kumite,18+ -50,Senior,Senior,,,,,
2017,Pawan Sidhu,2,kumite,U21 +68,U21,Junior,,,,,
2017,Isabel Chan,3,kumite,U21 -50,U21,Junior,,,,,
2017,Alexandra Zaborniak,3,kumite,U21 -68,U21,Junior,3,,,,
2017,Kole Macmillan,1,kumite,U16 -52,Cadet,Junior,,,,,
2017,MIchael Plunkett,4,kumite,U16 -52,Cadet,Junior,,,,,
2017,Josh Dhillon,1,kumite,U18 -55,Junior,Junior,,,,,
2017,Michael Plunkett,2,kumite,U18 -55,Junior,Junior,,,,,
2017,Joel Tai,4,kumite,U18 -61,Junior,Junior,,,,,
2017,Brendan Wise,1,kumite,U18 -76,Junior,Junior,,,,,
2017,Brendon Ly,2,kumite,18+ +84,Senior,Senior,2,,,,
2017,Cedomir Vasic,4,kumite,18+ +84,Senior,Senior,2,,,,
2017,Brendon Ly,1,kumite,U21 +84,U21,Junior,,,,,
2017,Joel Tai,4,kumite,U21 -60,U21,Junior,,,,,
2017,Brendan Wise,4,kumite,U21 -75,U21,Junior,,,,,
2017,Ezekiel Pareja,2,kumite,U14 -45,Youth,Junior,,,,,
2017,Rishi Sharma,4,kumite,U14 -35,Youth,Junior,,,,,
2018,Caitlin Lam,1,kumite,U16 -47,Cadet,Junior,,,,,
2018,Caitlyn Santos,2,kumite,U16 -47,Cadet,Junior,,,,,
2018,Maya Soehardi,4,kumite,U16 -54,Cadet,Junior,,,,,
2018,Caitlin Lam,1,kumite,U18 -48,Junior,Junior,,,,,
2018,Stephanie Zaborniak,3,kumite,U18 -48,Junior,Junior,,,,,
2018,Maya Soehardi,1,kumite,U18 -53,Junior,Junior,,,,,
2018,Julia Maclean,1,kumite,U18 -59,Junior,Junior,,,,,
2018,Jusleen Virk,1,kumite,18+ -50,Senior,Senior,2,,,,
2018,Isabel Chan,3,kumite,18+ -50,Senior,Senior,2,,,,
2018,Alexandra Zaborniak,2,kumite,18+ -68,Senior,Senior,,,,,
2018,Natasha Lam,2,kumite,U21 -50,U21,Junior,,,,,
2018,Isabel Chan,3,kumite,U21 -50,U21,Junior,2,,,,
2018,Angelica Gomez-Lalonde,3,kumite,U21 -61,U21,Junior,,,,,
2018,Alexandra Zaborniak,1,kumite,U21 -68,U21,Junior,2,,,,
